2026학년도 1학기 본과정(계약학과 포함) 전체 강의시간표,,,,,,,,
1. 2026. 1. 30.자 시간표로 교원 충원 및 강의실 사정 등에 따라 변동될 수 있음,,,,,,,,
2. 교양 교과목에 대한 상세 안내는 교양 시간표 안내 공지를 참조,,,,,,,,
3. 실용음악과 전공실기 교과목 배정 관련 사항은 학과 문의,,,,,,,,
과정부분,학과명,과목명,분반,교수명,학년,이수구분명,학점,시간표
본과정,전기공학과,C언어,103,김태현,1,전공과정,3,수 14:00 - 14:50 ( 공315 )  수 15:00 - 15:50 ( 공315 )  수 16:00 - 16:50 ( 공315 )
본과정,전기공학과,디지털공학,101,,1,전공과정,3,목 12:00 - 12:50 ( 공401 )  목 13:00 - 13:50 ( 공401 )  목 14:00 - 14:50 ( 공401 )
본과정,전기공학과,디지털공학,102,,1,전공과정,3,목 09:00 - 09:50 ( 공401 )  목 10:00 - 10:50 ( 공401 )  목 11:00 - 11:50 ( 공401 )
본과정,전기공학과,디지털공학,103,,1,전공과정,3,목 15:00 - 15:50 ( 공401 )  목 16:00 - 16:50 ( 공401 )  목 17:00 - 17:50 ( 공401 )
본과정,전기공학과,전기공업수학,101,이덕규,1,교양과정,3,수 10:00 - 10:50 ( 공318 )  수 11:00 - 11:50 ( 공318 )  수 12:00 - 12:50 ( 공318 )
본과정,전기공학과,전기공업수학,102,이덕규,1,교양과정,3,수 14:00 - 14:50 ( 공318 )  수 15:00 - 15:50 ( 공318 )  수 16:00 - 16:50 ( 공318 )
본과정,전기공학과,전기공업수학,103,이덕규,1,교양과정,3,화 14:00 - 14:50 ( 공317 )  화 15:00 - 15:50 ( 공317 )  화 16:00 - 16:50 ( 공317 )
본과정,전기공학과,전기자기학I,101,이태식,1,전공과정,3,수 14:00 - 14:50 ( 공317 )  수 15:00 - 15:50 ( 공317 )  수 16:00 - 16:50 ( 공317 )
본과정,전기공학과,전기자기학I,102,이태식,1,전공과정,3,수 10:00 - 10:50 ( 공317 )  수 11:00 - 11:50 ( 공317 )  수 12:00 - 12:50 ( 공317 )
본과정,전기공학과,전기자기학I,103,이태식,1,전공과정,3,화 10:00 - 10:50 ( 공317 )  화 11:00 - 11:50 ( 공317 )  화 12:00 - 12:50 ( 공317 )
본과정,전기공학과,회로이론I,101,,1,전공과정,3,목 09:00 - 09:50 ( 공316 )  목 10:00 - 10:50 ( 공316 )  목 11:00 - 11:50 ( 공316 )
본과정,전기공학과,회로이론I,102,,1,전공과정,3,목 15:00 - 15:50 ( 공316 )  목 16:00 - 16:50 ( 공316 )  목 17:00 - 17:50 ( 공316 )
본과정,전기공학과,회로이론I,103,,1,전공과정,3,목 12:00 - 12:50 ( 공316 )  목 13:00 - 13:50 ( 공316 )  목 14:00 - 14:50 ( 공316 )
본과정,전기공학과,회로이론실습,101,이순령,1,전공과정,3,화 10:00 - 10:50 ( 공412 )  화 11:00 - 11:50 ( 공412 )  화 12:00 - 12:50 ( 공412 )
본과정,전기공학과,회로이론실습,102,이순령,1,전공과정,3,월 09:00 - 09:50 ( 공412 )  월 10:00 - 10:50 ( 공412 )  월 11:00 - 11:50 ( 공412 )
본과정,전기공학과,회로이론실습,103,이순령,1,전공과정,3,수 10:00 - 10:50 ( 공412 )  수 11:00 - 11:50 ( 공412 )  수 12:00 - 12:50 ( 공412 )
본과정,전기공학과,데이터통신,101,김기윤,2,전공과정,3,월 14:00 - 14:50 ( 공405 )  월 15:00 - 15:50 ( 공405 )  월 16:00 - 16:50 ( 공405 )
본과정,전기공학과,데이터통신,102,김기윤,2,전공과정,3,월 09:00 - 09:50 ( 공405 )  월 10:00 - 10:50 ( 공405 )  월 11:00 - 11:50 ( 공405 )
